Time,Number,GMDn,GSDn,mode_n,ultra_n,accum_n,coarse_n,Surface,GMDs,GSDs,mode_s,ultra_s,accum_s,coarse_s,Volume,GMDv,GSDv,mode_v,ultra_v,accum_v,coarse_v
2020-09-06 23:00:00,8011.5340882996725,72.16157206766357,2.163479358121612,[  64.71756464 1885.195712  ],0.64,0.36,0.0,401831669.04468226,208.2516611961082,1.9647769775840624,[ 257.455348 1024.192684 2075.843294],0.13,0.85,0.02,17837511232.83183,351.9798719784924,2.2410291927990347,[ 292.7427044  593.3336464 2213.536292 ],0.03,0.83,0.14
2020-09-07 15:00:00,19376.116407408168,58.148562586617565,2.189041527712336,[22.4286339  44.02199067 92.13584309],0.74,0.26,0.0,729483878.3026721,198.6364092471454,2.0784582715493953,[  24.69681475  265.8569135  2075.843294  ],0.17,0.82,0.02,31517414101.036854,341.58539907677357,2.162026619398212,[  25.50274832  354.9460316  2437.388563  ],0.04,0.85,0.1
2020-09-07 16:00:00,21324.81628984777,58.68666597937442,2.211674857473728,[20.3687651 81.0297411],0.74,0.26,0.0,808412651.761208,196.9651769373502,2.0723702186762787,[ 28.99820714 123.0107258  274.5326481 ],0.18,0.81,0.02,34654829416.35752,339.84654811856177,2.1738769104863467,[  22.4286339  366.5290201 2437.388563 ],0.05,0.85,0.1
2020-09-07 17:00:00,34669.148287959084,42.36468959524907,2.4353705677077166,[15.7542007  39.97896578 92.13584309],0.81,0.19,0.0,972537055.2620305,189.64646037472346,2.1156055429669256,[ 15.7542007 144.4352457 274.5326481],0.19,0.8,0.01,40205885116.41992,324.3604115946713,2.115138589958107,[  24.69681475  366.5290201  2437.388563  ],0.05,0.87,0.08
2020-09-07 18:00:00,54243.175669313205,29.93670973821295,2.2172172540993933,[ 16.26830907  55.11781116 593.3336464 ],0.9,0.1,0.0,919278121.5913898,183.15882625164025,2.319142362668399,[ 19.10172631  36.30725647 292.7427044 ],0.21,0.78,0.01,38031601877.699104,326.3946710829291,2.0657937807107727,[ 19.72507481  37.4920747  593.3336464 ],0.05,0.88,0.07
2020-09-07 22:00:00,20637.612462063073,59.77519135718597,2.3749388149768706,[ 16.26830907  55.11781116 593.3336464 ],0.72,0.28,0.0,975391191.006147,231.0406660706213,2.071451395769373,[ 366.5290201 1024.192684  2010.242843 ],0.13,0.85,0.02,48351743669.06314,381.51808833138017,2.0418653997413165,[ 390.8412983 1202.574174  2437.388563 ],0.03,0.87,0.1
2020-09-08 11:00:00,36123.747215630734,33.808145929745045,2.137612478626658,[ 20.3687651  69.0103528 593.3336464],0.89,0.11,0.0,704956294.2689257,198.0010487484641,2.420678547118788,[ 27.19437402  95.14252104 354.9460316 ],0.21,0.77,0.02,32910668237.071743,386.51600392406664,2.2149865488154457,[ 378.4899973 2437.388563 ],0.04,0.83,0.13
2020-09-08 12:00:00,17234.029014038522,44.13644476202446,2.368324626609969,[19.72507481 69.0103528 ],0.8,0.2,0.0,580888161.4414551,224.79510258932694,2.1783500154138156,[ 20.3687651   39.97896578 302.2958056 ],0.14,0.84,0.02,29015599143.92638,400.0454440443208,2.1830891159385684,[  20.3687651  366.5290201 2143.58449  ],0.03,0.83,0.14
2020-09-08 13:00:00,16602.658117354764,53.53043556334085,2.2121395016253924,[31.93076107 66.82949924],0.78,0.22,0.0,594663503.8762076,208.40246695011834,2.169666305695385,[ 292.7427044 2075.843294 ],0.17,0.81,0.02,27777772757.462883,380.11979435411547,2.2391411469319866,[ 366.5290201 2437.388563 ],0.04,0.82,0.14
2020-09-08 14:00:00,16022.468453544898,50.23249345216114,2.258492309022887,[36.30725647 69.0103528 ],0.79,0.21,0.0,559968633.4794275,214.01791042027983,2.185608590711469,[  36.30725647  302.2958056  1092.128526  ],0.16,0.81,0.03,26952231483.077175,392.92399866453485,2.251453154825797,[  36.30725647  366.5290201  2285.770837  ],0.04,0.82,0.15
2020-09-08 15:00:00,11924.455870468177,52.65137411144914,2.3701972228869983,[24.69681475 81.0297411 ],0.75,0.25,0.0,486548948.33176064,226.34161488583734,2.1275693699511775,[  26.33498199  292.7427044  2213.536292  ],0.13,0.84,0.03,24405404473.8703,406.0182379576233,2.243141292773747,[ 366.5290201 2437.388563 ],0.03,0.81,0.16
2020-09-08 16:00:00,24455.275893006936,38.701382121348075,2.1691389810807906,[17.91350366 39.97896578 92.13584309],0.88,0.12,0.0,546604894.9122896,192.62669568606626,2.352341819979072,[ 21.71984798  95.14252104 292.7427044 ],0.22,0.76,0.02,24577434380.57821,372.69566444452795,2.241292434310471,[ 593.3336464 2285.770837 ],0.05,0.82,0.13
2020-09-25 05:00:00,26769.516484658416,34.021583510518646,1.8216271118643061,[30.92169053],0.94,0.06,0.0,332291707.39798,144.985780649583,2.57468145186295,[  45.45856458  274.5326481  1885.195712  ],0.33,0.66,0.01,11949831116.530182,307.72542852790383,2.248881455541758,[  51.68920838  322.3474232  2075.843294  ],0.08,0.84,0.08
2020-09-25 09:00:00,22303.35170412576,31.543980696242958,1.823916467349433,[ 28.08181068 101.4534304  593.3336464 ],0.93,0.07,0.0,244543602.4669916,136.05795334504157,2.555730789416241,[ 29.94450846  60.69180932 175.1255164 ],0.32,0.66,0.01,8392342901.921556,308.11445982080426,2.474834675050132,[ 29.94450846 249.3192874  593.3336464 ],0.08,0.8,0.12
2020-09-25 10:00:00,30441.209978748866,31.789635576602794,1.8763986301697357,[ 21.71984798  89.22418168 241.4403412 ],0.93,0.07,0.0,373143113.097674,150.2056667060321,2.555026310983514,[22.4286339  45.45856458 92.13584309],0.31,0.68,0.01,13794320519.744938,315.91781561013175,2.2747858821837976,[22.4286339  46.94201835 92.13584309],0.07,0.84,0.09
2020-09-25 12:00:00,21313.546431357703,35.97150599833869,2.119358486587185,[17.91350366 34.04876402 78.46905285],0.89,0.11,0.0,444187056.9760711,192.55424057481133,2.276001080255228,[ 35.15988065 101.4534304  274.5326481 ],0.19,0.8,0.01,18976891358.96466,330.909508176661,2.0189794980051174,[  42.63081512  332.866618   1946.715487  ],0.04,0.88,0.08
2020-09-25 13:00:00,23798.314962740573,37.52424038168788,2.127513399798534,[ 21.71984798  60.69180932 159.0418089 ],0.88,0.12,0.0,534673645.331792,197.41808762674,2.267938008029324,[ 28.99820714  64.71756464 292.7427044 ],0.19,0.8,0.01,23486619155.06115,343.2302118679203,2.0610856658001957,[  66.82949924  366.5290201  2437.388563  ],0.04,0.87,0.09
2020-09-25 14:00:00,18928.23239806415,39.75562992940435,2.2530455022500173,[ 28.99820714  55.11781116 180.8404044 ],0.85,0.15,0.0,515637093.23316765,209.88273921677816,2.1791170911807964,[ 30.92169053 108.1829495  241.4403412 ],0.16,0.82,0.02,23691246935.188046,359.3240967320028,2.1123412028065855,[ 30.92169053 312.1606541  593.3336464 ],0.03,0.85,0.11
2020-09-25 15:00:00,26943.12954734183,33.349335077654075,2.0475497955925093,[ 21.71984798  81.0297411  175.1255164 ],0.9,0.1,0.0,500604283.4425274,194.42768275948205,2.3699109733112715,[ 38.71555723 108.1829495  265.8569135 ],0.19,0.79,0.02,22393448240.906494,362.3766742760973,2.183682142826367,[ 38.71555723 312.1606541  593.3336464 ],0.04,0.84,0.12
2020-09-25 16:00:00,21281.962426975908,34.08526406083001,2.111721471881086,[ 18.49807677  51.68920838 180.8404044 ],0.9,0.1,0.0,406653829.18779767,191.08563813975914,2.3800308818412343,[ 31.93076107  81.0297411  249.3192874 ],0.21,0.77,0.02,18266473718.932617,377.40554770354504,2.31665760454185,[ 36.30725647  89.22418168 312.1606541 ],0.04,0.8,0.15
